species,decimalLatitude,decimalLongitude,speciation
Espeletia frontinoensis,6.466667,-76.083333,0.102277186
Espeletia hanburyana,3.37427,-76.07243,0.013766835
Espeletia hartwegiana,2.785278,-76.023889,0.660788093
Espeletia hartwegiana,2.785278,-76.023889,0.331802638
Espeletia hartwegiana,2.785278,-76.023888,0.415689128
Espeletia schultesiana,3,-76,0.779295487
Espeletia schultesiana,3,-76,0.297897615
Espeletia schultesiana,3,-76,0.223266054
Espeletia praefrontina,7.13173,-75.9563,0.191390735
Espeletia hartwegiana,3.9687,-75.9148,0.173399241
Espeletia hartwegiana,3.9687,-75.9148,0.481360958
Espeletia hartwegiana,3.98283,-75.9056,0.173202497
Espeletia hanburyana,4.035368,-75.888903,0.047375919
Espeletia boyacensis,7.271472,-75.851222,0.218849618
Espeletia hartwegiana,4.09075,-75.798806,0.708795922
Espeletia occidentalis,6.656368,-75.684,0.662772603
Espeletia occidentalis,6.66393,-75.676,0.226572769
Espeletia occidentalis,6.663933,-75.675997,0.332224544
Espeletia hanburyana,6.671615,-75.670463,0.186053996
Espeletia occidentalis,6.332222,-75.648333,0.501159573
Espeletia occidentalis,6.63301,-75.64763,0.68232329
Espeletia hartwegiana,4.26271,-75.6429,0.322851099
Espeletia hartwegiana,4.26271,-75.64286,0.229633063
Espeletia hartwegiana,4.368806,-75.589083,0.673932245
Espeletia hartwegiana,4.432861,-75.579083,0.278896842
Espeletia grandiflora,4.54624,-75.56151,0.804405199
Espeletia hartwegiana,4.242389,-75.556389,0.089881579
Espeletia occidentalis,6.583333,-75.533333,0.121441643
Espeletia occidentalis,6.583333,-75.533333,0.481872005
Espeletia occidentalis,7,-75.5,0.357948281
Espeletia occidentalis,6.7025,-75.49722,0.357704069
Espeletia occidentalis,6.83833,-75.49388,0.692121265
Espeletia hanburyana,4.81667,-75.4917,0.198716561
Espeletia hanburyana,4.816667,-75.484722,0.436307102
Espeletia hanburyana,4.816667,-75.484722,0.088362377
Espeletia hanburyana,4.816667,-75.484722,0.387262047
Espeletia hanburyana,4.816667,-75.484722,0.230892777
Espeletia hanburyana,4.816667,-75.484722,0.504326668
Espeletia occidentalis,6.816378,-75.480566,0.206525053
Espeletia occidentalis,6.8263,-75.4793,0.515920184
Espeletia occidentalis,6.8263,-75.4793,0.034047081
Espeletia occidentalis,6.8263,-75.4793,0.131726039
Espeletia occidentalis,6.8263,-75.4793,0.342289129
Espeletia occidentalis,6.8361,-75.4729,0.145987668
Espeletia occidentalis,6.8361,-75.4729,0.512275808
Espeletia occidentalis,6.8361,-75.4729,0.267029926
Espeletia occidentalis,6.8361,-75.4729,0.307114595
Espeletia hartwegiana,5.088607,-75.461374,0.006564776
Espeletia hartwegiana,4.62919,-75.43042,0.497651989
Espeletia hartwegiana,4.62919,-75.4304,0.550834882
Espeletia hartwegiana,4.617861,-75.420972,0.150574853
Espeletia hartwegiana,4.779717,-75.405047,0.157004192
Espeletia hartwegiana,4.779717,-75.405047,0.111553955
Espeletia hartwegiana,4.77972,-75.405,0.064938483
Espeletia hartwegiana,4.77972,-75.405,0.611781127
Espeletia hartwegiana,4.69587,-75.4044,0.290519978
Espeletia hartwegiana,4.69587,-75.4044,0.168122253
Espeletia grandiflora,5.092218,-75.401668,0.006947432
Espeletia hartwegiana,5.070875,-75.37823,0.282175697
Espeletia hartwegiana,5.070875,-75.37823,0.454552436
Espeletia hanburyana,4.708,-75.375,0.369538763
Espeletia hartwegiana,4.880958,-75.36623,0.353631463
Espeletia hartwegiana,4.880958,-75.36623,0.48112508
Espeletia hartwegiana,4.880958,-75.36623,0.384619378
Espeletia hartwegiana,4.954722,-75.3575,0.298785445
